2025-07-07 21:44:12 - train: epoch 1, iter:0, loss: 0.5043, lr: 2.7416707321483177e-05
2025-07-07 21:44:16 - train: epoch 1, iter:20, loss: 0.2661, lr: 2.7416707321483177e-05
2025-07-07 21:44:20 - train: epoch 1, iter:40, loss: 0.2604, lr: 2.7416707321483177e-05
2025-07-07 21:44:24 - train: epoch 1, iter:60, loss: 0.2617, lr: 2.7416707321483177e-05
2025-07-07 21:44:28 - train: epoch 1, iter:80, loss: 0.2658, lr: 2.7416707321483177e-05
2025-07-07 21:44:32 - train: epoch 1, iter:100, loss: 0.2662, lr: 2.7416707321483177e-05
2025-07-07 21:44:36 - train: epoch 1, iter:120, loss: 0.2579, lr: 2.7416707321483177e-05
2025-07-07 21:44:40 - train: epoch 1, iter:140, loss: 0.2607, lr: 2.7416707321483177e-05
2025-07-07 21:44:44 - train: epoch 1, iter:160, loss: 0.2604, lr: 2.7416707321483177e-05
2025-07-07 21:44:48 - train: epoch 1, iter:180, loss: 0.2608, lr: 2.7416707321483177e-05
2025-07-07 21:44:52 - train: epoch 1, iter:200, loss: 0.2589, lr: 2.7416707321483177e-05
2025-07-07 21:44:56 - train: epoch 1, iter:220, loss: 0.2625, lr: 2.7416707321483177e-05
2025-07-07 21:45:01 - val epoch: 1, loss: 0.2843, miou: 0.8091, f1_or_dsc: 0.8945, accuracy: 0.9562, specificity: 0.9790, sensitivity: 0.8717, confusion_matrix: [[13077154, 280080], [463925, 3152665]]
2025-07-07 21:45:01 - train: epoch 2, iter:0, loss: 0.1688, lr: 2.6770244479320824e-05
2025-07-07 21:45:06 - train: epoch 2, iter:20, loss: 0.2401, lr: 2.6770244479320824e-05
2025-07-07 21:45:10 - train: epoch 2, iter:40, loss: 0.2667, lr: 2.6770244479320824e-05
2025-07-07 21:45:14 - train: epoch 2, iter:60, loss: 0.2731, lr: 2.6770244479320824e-05
2025-07-07 21:45:18 - train: epoch 2, iter:80, loss: 0.2787, lr: 2.6770244479320824e-05
2025-07-07 21:45:22 - train: epoch 2, iter:100, loss: 0.2738, lr: 2.6770244479320824e-05
2025-07-07 21:45:26 - train: epoch 2, iter:120, loss: 0.2699, lr: 2.6770244479320824e-05
2025-07-07 21:45:30 - train: epoch 2, iter:140, loss: 0.2687, lr: 2.6770244479320824e-05
2025-07-07 21:45:34 - train: epoch 2, iter:160, loss: 0.2697, lr: 2.6770244479320824e-05
2025-07-07 21:45:38 - train: epoch 2, iter:180, loss: 0.2678, lr: 2.6770244479320824e-05
